594,Casa da Laranjeira - Aldeia de Camelo,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=4&LodgeSearch%5Bdate_start%5D=2018-10-06&LodgeSearch%5Bdate_end%5D=2018-10-07&LodgeSearch%5Bnum_adults%5D=2'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=4&LodgeSearch%5Bdate_start%5D=2018-10-06&LodgeSearch%5Bdate_end%5D=2018-10-07&LodgeSearch%5Bnum_adults%5D=2'}
597,Princesa Peralta Room,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=2&LodgeSearch%5Bdate_start%5D=2018-04-26&LodgeSearch%5Bdate_end%5D=2018-04-29&LodgeSearch%5Bnum_adults%5D=2'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=2&LodgeSearch%5Bdate_start%5D=2018-04-26&LodgeSearch%5Bdate_end%5D=2018-04-29&LodgeSearch%5Bnum_adults%5D=2'}
598,Casa da Azeitona - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=95&LodgeSearch%5Bdate_start%5D=2018-07-23&LodgeSearch%5Bdate_end%5D=2018-07-25&LodgeSearch%5Bnum_adults%5D=5'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=95&LodgeSearch%5Bdate_start%5D=2018-07-23&LodgeSearch%5Bdate_end%5D=2018-07-25&LodgeSearch%5Bnum_adults%5D=5'}
599,Apartamento T1 Deluxe,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'}
600,Casa da Azeitona - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=95&LodgeSearch%5Bdate_start%5D=2018-07-23&LodgeSearch%5Bdate_end%5D=2018-07-25&LodgeSearch%5Bnum_adults%5D=5'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=95&LodgeSearch%5Bdate_start%5D=2018-07-23&LodgeSearch%5Bdate_end%5D=2018-07-25&LodgeSearch%5Bnum_adults%5D=5'}
601,Casa Alfazema - Xisto Sentido,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=45&LodgeSearch%5Bdate_start%5D=2018-05-13&LodgeSearch%5Bdate_end%5D=2018-05-16&LodgeSearch%5Bnum_adults%5D=2'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=45&LodgeSearch%5Bdate_start%5D=2018-05-13&LodgeSearch%5Bdate_end%5D=2018-05-16&LodgeSearch%5Bnum_adults%5D=2'}
602,Entire House,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=80&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=6'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=80&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=6'}
603,Entire House,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'},Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'}
604,Casa da Árvore - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
605,Casa da Árvore - Cerdeira Village,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'},Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
