198,Aqua Village Health Resort & SPA,https://bookinxisto.com/en/account/order-view?auth=YvTEFv0JorFcgYPRIEVBja7O9dfALYbo&id=198,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'}
102,Casa da Azeitona - Cerdeira - Home for Creativity,https://bookinxisto.com/en/account/order-view?id=102&auth=vCNyB3PgU0KOkTC_XS3lLfFg5tkuKA8G,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=95&LodgeSearch%5Bdate_start%5D=2018-07-23&LodgeSearch%5Bdate_end%5D=2018-07-25&LodgeSearch%5Bnum_adults%5D=5'}
117,Casa Alfazema - Xisto Sentido,https://bookinxisto.com/en/account/order-view?id=117&auth=e0RO5aAY3vDIvaE-SZEMCfMHz3vffi5c,cancelado,3,Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=45&LodgeSearch%5Bdate_start%5D=2018-05-13&LodgeSearch%5Bdate_end%5D=2018-05-16&LodgeSearch%5Bnum_adults%5D=2'}
128,Casa Cimeira,https://bookinxisto.com/en/account/order-view?id=128&auth=0hlxIMUE7WtB8bJY4Lxy1b5WCSdZ4FKB,cancelado,2,Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=80&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=6'}
129,Casa Lausus,https://bookinxisto.com/en/account/order-view?id=129&auth=E85x5-uBhdql70M5Zft-UK1pBo5Vqovr,cancelado,2,Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'}
135,Casa da Árvore - Cerdeira - Home for Creativity,https://bookinxisto.com/en/account/order-view?id=135&auth=SY0UljTXJalkJVtY3BWouAHAU870eYdS,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
135,Casa da Árvore - Cerdeira - Home for Creativity,https://bookinxisto.com/en/account/order-view?id=135&auth=SY0UljTXJalkJVtY3BWouAHAU870eYdS,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
135,Casa da Árvore - Cerdeira - Home for Creativity,https://bookinxisto.com/en/account/order-view?id=135&auth=SY0UljTXJalkJVtY3BWouAHAU870eYdS,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=19&LodgeSearch%5Bdate_start%5D=2018-04-06&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
140,Casa Lausus,https://bookinxisto.com/en/account/order-view?id=140&auth=E85x5-uBhdql70M5Zft-UK1pBo5Vqovr,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=57&LodgeSearch%5Bdate_start%5D=2018-03-30&LodgeSearch%5Bdate_end%5D=2018-04-01&LodgeSearch%5Bnum_adults%5D=2'}
143,Casa da Serra - Camping Oleiros,https://bookinxisto.com/en/account/order-view?id=143&auth=TRiyIItlTzI5IxgEC0y5NKxz_aVUDFCs,cancelado,2,Cancelled,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=28&LodgeSearch%5Bdate_start%5D=2018-05-05&LodgeSearch%5Bdate_end%5D=2018-05-07&LodgeSearch%5Bnum_adults%5D=2'}
153,Hotel Rural Quinta da Geia,https://bookinxisto.com/en/account/order-view?id=153&auth=tK5EHCSuTQDVl1mlwbauLvURs8hsrV5h,ok,1,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=40&LodgeSearch%5Bdate_start%5D=2018-04-07&LodgeSearch%5Bdate_end%5D=2018-04-08&LodgeSearch%5Bnum_adults%5D=2'}
174,Casa da Urze,https://bookinxisto.com/en/account/order-view?id=174&auth=vHJOYDxCLj_ImftCdLlhDdyqXjXXmSJc,ok,3,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=35&LodgeSearch%5Bdate_start%5D=2018-05-31&LodgeSearch%5Bdate_end%5D=2018-06-03&LodgeSearch%5Bnum_adults%5D=2'}
198,Aqua Village Health Resort & SPA,https://bookinxisto.com/en/account/order-view?id=198&auth=YvTEFv0JorFcgYPRIEVBja7O9dfALYbo,ok,2,Payment Complete,{'https://bookinxisto.com/en/lodge-catalog/lodge?id=96&LodgeSearch%5Bdate_start%5D=2018-04-29&LodgeSearch%5Bdate_end%5D=2018-05-01&LodgeSearch%5Bnum_adults%5D=2'}
