,key_0,1,2,3,IQ
0,01100100101,2165.6163940429688,5645.200412326389,6740.636393229167,6.53125
1,01100100102,947.6251438685825,2463.585431780134,3417.5085797991073,0.0
2,01100100104,996.372998046875,1463.83681640625,2198.248681640625,6.657894736842105
3,01100100105,1162.8353271484375,1511.038330078125,2624.7410481770835,7.266666666666667
4,01100100106,933.3480224609375,1665.9395141601562,2447.583984375,6.575
5,01100100107,1032.1050415039062,1704.3350219726562,2595.1239013671875,8.153846153846153
6,01100100109,1169.7349853515625,1510.4129638671875,2552.635986328125,8.04
7,01100100111,956.5826822916666,1491.8903401692708,2638.3583170572915,6.984126984126984
8,01100100112,1253.4739990234375,1500.9559936523438,2754.8819580078125,7.392857142857143
9,01100100113,1200.8049926757812,1582.385009765625,2843.642578125,8.397058823529411
10,01100100114,822.256787109375,1841.4135986328124,3026.8326171875,7.324324324324325
11,01100100115,1294.4619954427083,1693.4813232421875,3084.9766438802085,7.9523809523809526
12,01100100117,833.1036580403646,2036.2423909505208,2444.9056803385415,7.352941176470588
13,01100100201,1213.6710205078125,2056.2987365722656,3594.9262084960938,2.4
14,01100100202,563.1339721679688,2021.9439697265625,3090.510009765625,7.4375
15,01100100203,306.9504928588867,2205.02197265625,3332.014404296875,6.142857142857143
16,01100100205,1046.8625183105469,1971.7844848632812,3486.0205078125,6.681818181818182
17,01100100206,740.2173461914062,1973.0663248697917,3288.6097005208335,6.316666666666666
18,01100100207,381.22239990234374,2709.26318359375,3771.12119140625,5.833333333333333
19,01100100208,157.7606658935547,2547.5496419270835,3658.9853515625,7.217391304347826
20,01100100209,194.15900421142578,2532.7540283203125,3712.1959838867188,6.1940298507462686
21,01100100210,423.3473358154297,2502.9773763020835,3896.1673177083335,5.785714285714286
22,01100100211,855.5799983097957,2734.30029296875,4235.9341383713945,6.142857142857143
23,01100100212,541.9576619466146,2717.878662109375,4014.777587890625,6.625
24,01100100213,693.8405151367188,2956.43994140625,4006.9154052734375,6.105263157894737
25,01100100214,1444.4367797851562,3080.16455078125,4615.6001953125,0.0
26,01100100215,367.2959899902344,2757.0849609375,3858.596923828125,4.0
27,01100100216,528.7349853515625,2816.135986328125,4001.554931640625,6.434782608695652
28,01100100217,810.0,2917.462890625,4282.81982421875,9.38888888888889
29,01100100218,947.6323445638021,2985.2080078125,4420.452311197917,7.888888888888889
30,01100100219,659.68798828125,2947.089111328125,4132.5078125,6.85
31,01100100220,895.6777496337891,3259.2086791992188,4344.2476806640625,4.903225806451613
32,01100100221,1273.35302734375,3445.5233561197915,4746.173177083333,6.674418604651163
33,01100100222,1075.3194580078125,3362.7205810546875,4548.139404296875,5.655172413793103
34,01100200101,902.7107195172991,2922.696707589286,3170.5600237165177,12.4
35,01100200102,1232.960673014323,2842.840830485026,2951.2467346191406,9.508771929824562
36,01100200103,867.5979817708334,2819.9715983072915,3058.1686197916665,11.63888888888889
37,01100200104,910.7509765625,2768.402099609375,3006.59912109375,13.8
38,01100200105,1307.9810180664062,2472.2225341796875,2744.4949951171875,12.571428571428571
39,01100200106,1158.34965297154,2787.21231515067,3052.830235072545,11.047619047619047
