65,https://bookinxisto.com/pt/lodge-catalog/lodge?id=65,Casa do Caniço - Vilar dos Condes
66,https://bookinxisto.com/pt/lodge-catalog/lodge?id=66,Casa da Eira - Vilar dos Condes
67,https://bookinxisto.com/pt/lodge-catalog/lodge?id=67,Casa da Pedra Rolada
68,https://bookinxisto.com/pt/lodge-catalog/lodge?id=68,Casa O Medronheiro
71,https://bookinxisto.com/pt/lodge-catalog/lodge?id=71,Casa do Olival
72,https://bookinxisto.com/pt/lodge-catalog/lodge?id=72,Casa do Dão
73,https://bookinxisto.com/pt/lodge-catalog/lodge?id=73,Casa da Ameixeira - Casas dos Carregais
74,https://bookinxisto.com/pt/lodge-catalog/lodge?id=74,Casa da Cerejeira - Casas dos Carregais
75,https://bookinxisto.com/pt/lodge-catalog/lodge?id=75,Casa da Laranjeira - Casas dos Carregais
76,https://bookinxisto.com/pt/lodge-catalog/lodge?id=76,Casa da Oliveira - Casas dos Carregais
77,https://bookinxisto.com/pt/lodge-catalog/lodge?id=77,Casa do Castanheiro - Casas dos Carregais
78,https://bookinxisto.com/pt/lodge-catalog/lodge?id=78,Casa do Medronheiro - Casas dos Carregais
79,https://bookinxisto.com/pt/lodge-catalog/lodge?id=79,Quinta da Moenda
80,https://bookinxisto.com/pt/lodge-catalog/lodge?id=80,Casa Cimeira
81,https://bookinxisto.com/pt/lodge-catalog/lodge?id=81,Casas do Rio
82,https://bookinxisto.com/pt/lodge-catalog/lodge?id=82,Casa da Eira de Cima
87,https://bookinxisto.com/pt/lodge-catalog/lodge?id=87,Casa do Forno - Casas de Água Formosa
89,https://bookinxisto.com/pt/lodge-catalog/lodge?id=89,Casa Nascente - Casas de Água Formosa
90,https://bookinxisto.com/pt/lodge-catalog/lodge?id=90,Casa da Eira – Casas de Água Formosa
91,https://bookinxisto.com/pt/lodge-catalog/lodge?id=91,Casa Nova – Casas de Água Formosa
92,https://bookinxisto.com/pt/lodge-catalog/lodge?id=92,Casa da Fonte – Casas de Água Formosa
93,https://bookinxisto.com/pt/lodge-catalog/lodge?id=93,Campus Natura
95,https://bookinxisto.com/pt/lodge-catalog/lodge?id=95,Casa da Azeitona - Cerdeira Village
96,https://bookinxisto.com/pt/lodge-catalog/lodge?id=96,Aqua Village Health Resort & SPA
98,https://bookinxisto.com/pt/lodge-catalog/lodge?id=98,Casa de Santo Antão
99,https://bookinxisto.com/pt/lodge-catalog/lodge?id=99,Lameirinhos Casa De Campo
108,https://bookinxisto.com/pt/lodge-catalog/lodge?id=108,Casa Ti´Augusta
111,https://bookinxisto.com/pt/lodge-catalog/lodge?id=111,Casa Mãe - Mountain Whisper
112,https://bookinxisto.com/pt/lodge-catalog/lodge?id=112,Casa da Nogueira - Mountain Whisper
113,https://bookinxisto.com/pt/lodge-catalog/lodge?id=113,Casa da Paisagem - Mountain Whisper
114,https://bookinxisto.com/pt/lodge-catalog/lodge?id=114,Casa da Terra - Mountain Whisper
115,https://bookinxisto.com/pt/lodge-catalog/lodge?id=115,Casa da Madeira - Mountain Whisper
4,https://bookinxisto.com/pt/experience-catalog/experience?id=4,No Caminho de Xisto
22,https://bookinxisto.com/pt/experience-catalog/experience?id=22,Pelas Cascatas
31,https://bookinxisto.com/pt/experience-catalog/experience?id=31,Passeio Geológico
32,https://bookinxisto.com/pt/experience-catalog/experience?id=32,Entre Anjos e Santos
33,https://bookinxisto.com/pt/experience-catalog/experience?id=33,Passeio Fluvial
140,https://bookinxisto.com/pt/experience-catalog/experience?id=140,Restaurante Bem me Quer - Menu Degustação
144,https://bookinxisto.com/pt/experience-catalog/experience?id=144,Viagem a pé pelas Aldeias do Xisto
146,https://bookinxisto.com/pt/experience-catalog/experience?id=146,Viagem em BTT pelas Aldeias do Xisto
147,https://bookinxisto.com/pt/experience-catalog/experience?id=147,Restaurante Fiado - Menu Degustação
149,https://bookinxisto.com/pt/experience-catalog/experience?id=149,Restaurante João Brandão - Menu Degustação
150,https://bookinxisto.com/pt/experience-catalog/experience?id=150,Restaurante Museu da Chanfana - Menu Degustação
151,https://bookinxisto.com/pt/experience-catalog/experience?id=151,Restaurante O Buke - Menu Degustação
154,https://bookinxisto.com/pt/experience-catalog/experience?id=154,Restaurante Ponte Velha - Menu Degustação
155,https://bookinxisto.com/pt/experience-catalog/experience?id=155,Restaurante Santo Amaro - Menu Degustação
156,https://bookinxisto.com/pt/experience-catalog/experience?id=156,Restaurante Casa Ti Augusta - Menu Degustação
157,https://bookinxisto.com/pt/experience-catalog/experience?id=157,Restaurante Varanda do Casal - Menu Degustação
158,https://bookinxisto.com/pt/experience-catalog/experience?id=158,Restaurante Sabores da Aldeia - Menu Degustação
205,https://bookinxisto.com/pt/experience-catalog/experience?id=205,Cabaz Júnior
206,https://bookinxisto.com/pt/experience-catalog/experience?id=206,Lagarada
